timestamp,stage,epoch,train_loss,val_loss
2026-04-19 11:00:20,fan,1,0.013578,0.015174
2026-04-19 11:06:17,fan,2,0.00811,0.010575
2026-04-19 11:12:13,fan,3,0.007166,0.007095
2026-04-19 11:18:08,fan,4,0.006698,0.008102
2026-04-19 11:24:05,fan,5,0.006398,0.007545
2026-04-19 11:30:02,fan,6,0.006188,0.005578
2026-04-19 11:35:56,fan,7,0.006013,0.005411
2026-04-19 11:41:51,fan,8,0.005883,0.005627
2026-04-19 11:47:47,fan,9,0.005749,0.005158
2026-04-19 11:53:43,fan,10,0.005668,0.006084
2026-04-19 11:59:39,fan,11,0.005561,0.007906
2026-04-19 12:05:34,fan,12,0.00548,0.005862
2026-04-19 12:11:30,fan,13,0.00539,0.004716
2026-04-19 12:17:25,fan,14,0.005321,0.005241
2026-04-19 12:23:21,fan,15,0.005238,0.006063
2026-04-19 12:29:17,fan,16,0.00516,0.007065
2026-04-19 12:35:12,fan,17,0.005065,0.006247
2026-04-19 12:41:07,fan,18,0.004989,0.006081
2026-04-19 12:47:02,fan,19,0.004927,0.006181
2026-04-19 12:52:57,fan,20,0.004857,0.007136
2026-04-19 12:58:52,fan,21,0.004786,0.006632
2026-04-19 13:04:47,fan,22,0.004735,0.00722
2026-04-19 13:10:41,fan,23,0.004685,0.00677
2026-04-19 13:16:37,fan,24,0.004638,0.00785
2026-04-19 13:22:32,fan,25,0.004597,0.007559
2026-04-19 13:28:28,fan,26,0.004574,0.007803
2026-04-19 13:34:24,fan,27,0.004538,0.007827
2026-04-19 13:40:19,fan,28,0.004518,0.00756
2026-04-19 13:46:15,fan,29,0.004513,0.007679
2026-04-19 13:52:11,fan,30,0.004503,0.007514
2026-04-23 20:46:00,sr,1,0.030832,0.017706,0.030027,0.043936,0.00542
2026-04-23 21:00:32,sr,2,0.021453,0.012191,0.02053,0.037018,0.00701
2026-04-23 21:15:05,sr,3,0.019996,0.012687,0.019102,0.035184,0.006829
2026-04-23 21:29:37,sr,4,0.019177,0.014026,0.018301,0.034152,0.006713
2026-04-23 21:44:09,sr,5,0.018613,0.012427,0.01775,0.033499,0.006622
2026-04-23 21:58:42,sr,6,0.018025,0.011572,0.017174,0.032958,0.006534
2026-04-23 22:13:11,sr,7,0.017653,0.012255,0.01681,0.032465,0.006477
2026-04-23 22:27:43,sr,8,0.017287,0.013795,0.016452,0.032069,0.006422
2026-04-23 22:42:13,sr,9,0.017031,0.011543,0.016203,0.031752,0.006368
2026-04-23 22:56:42,sr,10,0.016709,0.011622,0.015889,0.031441,0.00631
2026-04-23 23:11:14,sr,11,0.01645,0.012298,0.015633,0.03121,0.006291
2026-04-23 23:25:43,sr,12,0.016112,0.012742,0.015302,0.030925,0.006246
2026-04-23 23:40:12,sr,13,0.015856,0.011584,0.015051,0.030686,0.006212
2026-04-23 23:54:35,sr,14,0.015588,0.009889,0.014789,0.030458,0.006163
2026-04-24 00:08:58,sr,15,0.015462,0.010178,0.014666,0.030186,0.006151
2026-04-24 00:23:22,sr,16,0.015293,0.011242,0.0145,0.030117,0.00612
2026-04-24 00:37:49,sr,17,0.01511,0.012136,0.014321,0.029883,0.006097
2026-04-24 00:52:15,sr,18,0.014977,0.012159,0.014192,0.029732,0.006064
2026-04-24 01:06:40,sr,19,0.014901,0.011101,0.014118,0.02961,0.006044
2026-04-24 01:21:06,sr,20,0.014725,0.013097,0.013947,0.029462,0.006016
2026-04-24 01:35:44,sr,21,0.01469,0.010253,0.013915,0.029353,0.005992
2026-04-24 01:50:24,sr,22,0.014576,0.010929,0.013803,0.029214,0.005972
2026-04-24 02:05:06,sr,23,0.014506,0.010211,0.013734,0.029113,0.00597
2026-04-24 02:19:45,sr,24,0.014382,0.010654,0.013614,0.028978,0.005935
2026-04-24 02:34:21,sr,25,0.014333,0.010434,0.013567,0.028912,0.005921
2026-04-24 02:48:48,sr,26,0.014209,0.009711,0.013445,0.028804,0.005904
2026-04-24 03:03:14,sr,27,0.014174,0.009762,0.013413,0.028735,0.005885
